ANNO;TRIMESTRE;SPESA IN MILIONI DI EURO
1997;1° trim.;11
 ;2° trim.;23
 ;3° trim.;107
 ;4° trim.;19
1998;1° trim.;19
 ;2° trim.;46
 ;3° trim.;69
 ;4° trim.;17
1999;1° trim.;16
 ;2° trim.;22
 ;3° trim.;100
 ;4° trim.;21
2000;1° trim.;19
 ;2° trim.;39
 ;3° trim.;124
 ;4° trim.;27
2001;1° trim.;13
 ;2° trim.;49
 ;3° trim.;134
 ;4° trim.;23
2002;1° trim.;7
 ;2° trim.;45
 ;3° trim.;171
 ;4° trim.;27
2003;1° trim.;18
 ;2° trim.;54
 ;3° trim.;139
 ;4° trim.;26
2004;1° trim.;31
 ;2° trim.;67
 ;3° trim.;137
 ;4° trim.;29
2005;1° trim.;22
 ;2° trim.;51
 ;3° trim.;102
 ;4° trim.;27
2006;1° trim.;28
 ;2° trim.;55
 ;3° trim.;120
 ;4° trim.;27
2007;1° trim.;42
 ;2° trim.;46
 ;3° trim.;145
 ;4° trim.;35
2008;1° trim.;17
 ;2° trim.;30
 ;3° trim.;105
 ;4° trim.;25
2009;1° trim.;27
 ;2° trim.;27
 ;3° trim.;88
 ;4° trim.;25
2010;1° trim.;17
 ;2° trim.;33
 ;3° trim.;83
 ;4° trim.;29
2011;1° trim.;28
 ;2° trim.;33
 ;3° trim.;81
 ;4° trim.;35
2012;1° trim.;36
 ;2° trim.;32
 ;3° trim.;62
 ;4° trim.;15
2013;1° trim.;18
 ;2° trim.;41
 ;3° trim.;62
 ;4° trim.;16
2014;1° trim.;14
 ;2° trim.;30
 ;3° trim.;102
 ;4° trim.;21
2015;1° trim.;11
 ;2° trim.;28
 ;3° trim.;99
 ;4° trim.;23
2016;1° trim.;14
 ;2° trim.;39
 ;3° trim.;106
 ;4° trim.;17
2017;1° trim.;8
 ;2° trim.;12
 ;3° trim.;152
 ;4° trim.;11
2018;1° trim.;9
 ;2° trim.;15
 ;3° trim.;156
 ;4° trim.;13
2019;1° trim.;12
 ;2° trim.;26
 ;3° trim.;125
 ;4° trim.;22
2020;1° trim.;10
 ;2° trim.;4
 ;3° trim.;78
 ;4° trim.;11
2021;1° trim.;7
 ;2° trim.;11
 ;3° trim.;87
 ;4° trim.;26
2022;1° trim.;24
 ;2° trim.;51
 ;3° trim.;84
 ;4° trim.;21
2023;1° trim.;25
 ;2° trim.;49
 ;3° trim.;86
 ;4° trim.;40
2024;1° trim.;23
 ;2° trim.;49
 ;3° trim.;111
 ;4° trim.;65
2025;1° trim.;30
;2° trim.;113
